companyid	company_name
961	Mips
962	Miris
963	MOBA Network
964	Moberg Pharma
965	Modelon
966	Modern Times Group A
967	Modern Times Group B
968	Modulight
969	Modus Therapeutics
970	Mofast
971	Moment Group
972	Momentum Group
973	Monivent
974	Mons Bank
975	Monsenso
976	Moreld
977	Morrow Bank
978	Motion Display
979	MoveByBike
980	Movinn
981	Mowi
982	MPC Container Ships
983	MPC Energy Solutions
984	mResell
985	MT Hojgaard B
986	MTI Investment
987	Multiconsult
988	Munters
989	Musti Group
990	My Beat
991	Mycronic
992	mySafety
993	Nanexa
994	NanoCap
995	NanoEcho
996	Nanoform
997	Nanologica
998	Napatech
999	Nattaro Labs
1000	Navamedic
1001	Navigo Invest
1002	Navigo Invest Pref
1003	NAXS
1004	NCAB Group
1005	NCC A
1006	NCC B
1007	Nederman
1008	Nekkar
1009	NEL
1010	Nelly Group
1011	Neobo Fastigheter
1012	Neola Medical
1013	Neovici Holding B
1014	Nepa
1015	Neste
1016	Net Insight
1017	Netcompany Group
1018	Netel Holding
1019	NetJobs
1020	Netum
1021	New Nordic Healthbrands
1022	New Wave
1023	Newbury Pharmaceuticals
1024	NewCap Holding
1025	Nexam Chemical
1026	Nexar Group
1027	Nexcom
1028	Nexstim
1029	NEXT Biometrics
1030	NextCell Pharma
1031	NFO Drives
1032	NGS Group
1033	NIBE Industrier
1034	Nicoccino
1035	Nidaros Sparebank
1036	Nidhogg Resources
1037	Nightingale Health
1038	Nilfisk
1039	Nilörngruppen
1040	Nilsson Special Vehicles
1041	Nimbus
1042	Nitro Games
1043	Niutech Group
1044	Nivika Fastigheter
1045	NKT Holding
1046	NNIT
1047	Nobia
1048	Nodebis Applications
1049	NoHo Partners
1050	Nokia
1051	Nokian Panimo
1052	Nokian Renkaat
1053	Nolato
1054	Noram Drilling
1055	Norbit
1056	Norcod
1057	Norconsult
1058	Nord Insuretech
1059	Nordea Bank
1060	Nordfyns Bank
1061	Nordhealth
1062	Nordic Aqua Partners
1063	Nordic Asia
1064	Nordic Financials
1065	Nordic Flanges
1066	Nordic Halibut
1067	Nordic Iron Ore
1068	Nordic LEVEL
1069	Nordic Mining
1070	Nordic Paper
1071	Nordic Semiconductor
1072	Nordic Technology
1073	Nordisk Bergteknik
1074	Norditek
1075	Nordnet
1076	Nordrest
1077	Norion Bank
1078	Norrhydro
1079	Norse Atlantic
1080	Norsk Hydro
1081	Norsk Titanium
1082	Norske Skog
1083	North Energy
1084	North Media
1085	Northbaze
1086	Northern CapSek
1087	Northern CapSek Pref
1088	Northern Ocean
1089	Northgold
1090	Norva24
1091	Norwegian Air Shuttle
1092	Norwegian Block Exchange
1093	Nosa Plugs
1094	Nosium
1095	NOTE
1096	Novo Nordisk
1097	Novonesis
1098	Novotek
1099	Novus
1100	Nowonomics
1101	NP3 Fastigheter
1102	NP3 Fastigheter Pref
1103	NRC Group
1104	NTG Nordic Transport
1105	NTR Holding
1106	Nurminen Logistics
1107	NYAB
1108	Nyfosa
1109	Nykode Therapeutics
1110	OB Oslo All
1111	OB Oslo Consumer
1112	OB Oslo Financials
1113	OB Oslo Health
1114	OB Oslo Industrial
1115	OB Oslo Oil&Gas
1116	OB Oslo Staples
1117	OB Oslo Technology
1118	OB Oslo Utilities
1119	Obducat
1120	Obducat Pref
1121	Observe Medical
1122	Observit
1123	OBX Oslo
1124	Ocean GeoLoop
1125	Ocean Sun
1126	Odfjell A
1127	Odfjell B
1128	Odfjell Drilling
1129	Odfjell Technology
1130	ODI Pharma
1131	Odinwell
1132	OEM International
1133	Ogunsen
1134	Oil Gas & Coal
1135	OKEA
1136	Okeanis Eco Tankers
1137	Olav Thon
1138	Olvi
1139	Oma Säästöpankki
1140	OMDA
1141	OMX Copenhagen 20
1142	OMX Copenhagen 20 GI
1143	OMX Copenhagen 25
1144	OMX Copenhagen 25 GI
1145	OMX Copenhagen GI
1146	OMX Copenhagen PI
1147	OMX Helsinki 15
1148	OMX Helsinki 25
1149	OMX Helsinki GI
1150	OMX Helsinki PI
1151	OMX Large Cap
1152	OMX Mid Cap
1153	OMX Nordic 40
1154	OMX Small Cap
1155	OMX Stockholm 30
1156	OMX Stockholm 30 GI
1157	OMX Stockholm 50 EW
1158	OMX Stockholm 60
1159	OMX Stockholm 60 GI
1160	OMX Stockholm GI
1161	OMX Stockholm PI
1162	OMXC Financials
1163	OMXC Goods
1164	OMXC Health
1165	OMXC Industrial
1166	OMXC Oil&Gas
1167	OMXC Sercives
1168	OMXC Technology
1169	OMXC Telecom
1170	OMXC Utilities
1171	OMXH Consumer
1172	OMXH Financials
1173	OMXH Health
1174	OMXH Industrial
1175	OMXH Materials
1176	OMXH Oil&Gas
1177	OMXH Services
1178	OMXH Technology
1179	OMXH Telecom
1180	OMXH Utilities
1181	OMXS Consumer Discretionary
1182	OMXS Consumer Staples
1183	OMXS Energy
1184	OMXS Financials
1185	OMXS Health Care
1186	OMXS Industrials
1187	OMXS Materials
1188	OMXS Real Estate
1189	OMXS Technology
1190	OMXS Telecom
1191	OMXS Utilities
1192	Oncoinvent
1193	Oncopeptides
1194	OncoZenge
1195	Oneflow
1196	Online Brands Nordic
1197	oodash Group
1198	Opsy Holding
1199	Opter
1200	OptiCept Technologies
1201	Optomed
1202	Öresund
1203	Orexo
1204	OrganoClick
1205	Oriola
1206	Orion A
1207	Orion B
1208	Orkla
1209	Orrön Energy
1210	Orsted
1211	Orthex
1212	Ortivus A
1213	Ortivus B
1214	Ortoma
1215	OSEBX Oslo
1216	OssDsign
1217	Ostasiatiske
1218	Otello
1219	Otovo
1220	OurLiving
1221	Outokumpu
1222	Ovaro Kiinteistösijoitus
1223	Ovzon
1224	OXE Marine
1225	Pallas Air
1226	Pandora
1227	Pandox
1228	Panoro Energy
1229	Panostaja
1230	Papirfabrikken Invest
1231	Paradox Interactive
1232	Paratus Energy
1233	Pareto Bank
1234	Park Street
1235	PARKEN Sport
1236	Partnera
1237	Paxman
1238	PCI Biotech
1239	Peab
1240	Peptonic Medical
1241	Per Aarsleff
1242	Perpetua Medical
1243	Personal Care
1244	Personal Goods
1245	Petrolia
1246	PetroNor E&P
1247	PExA
1248	Pexip
1249	Pharma Equity
1250	Pharmaceuticals
1251	PharmaLundensis
1252	Phase Holographic
1253	Philly Shipyard
1254	Photocat
1255	Photocure
1256	Physitrack
1257	Pierce Group
1258	Pihlajalinna
1259	Piippo
1260	Pila Pharma
1261	PION Group
1262	Pioneer Property Pref
1263	PixelFox
1264	Platzer Fastigheter
1265	Plejd
1266	Pohjanmaan Arvo
1267	PolarCool
1268	Polaris Media
1269	poLight
1270	Polygiene
1271	Polymer Factory
1272	Ponsse 1
1273	PowerCell
1274	Prebona
1275	Precio Fishbone
1276	Precious Metals & Mining
1277	Precise Biometrics
1278	Precomp Solutions
1279	Premium Snacks
1280	Preservia Holding Pref
1281	Preservia Hyresfastigheter
1282	Preservia Pref
1283	Preservium Property
1284	Prevas
1285	Pricer
1286	Prime Office
1287	Prisma Properties
1288	Proact IT
1289	ProfilGruppen
1290	Profoto
1291	Projektengagemang
1292	Prolight Diagnostics
1293	Promimic
1294	Prosafe
1295	ProstaLund
1296	Prostatype Genomics
1297	Protector
1298	Provide IT
1299	Proximar Seafood
1300	Pryme
1301	Public Property Invest
1302	Purefun
1303	Puuilo
1304	Pyrum Innovations
1305	Q-Interline
1306	Q-Linea
1307	QBank
1308	Qben Infra
1309	Qbrick
1310	Qiiwi Games
1311	QleanAir
1312	QLife
1313	Qliro
1314	Qlosr Group
1315	Qlucore
1316	QPR Software
1317	Qt Group
1318	Qualisys
1319	Questerre Energy
1320	QuiaPEG Pharmaceuticals
1321	Railcare
1322	Railway Metrics & Dynamics
1323	Raisio K
1324	Raketech
1325	Ramlösa Shipping
1326	Rana Gruber
1327	RanLOS
1328	Ranplan
1329	Rapala
1330	Ratos A
1331	Ratos B
1332	Raute
1333	RaySearch Laboratories
1334	Raytelligence
1335	Reach Subsea
1336	Readly
1337	Real Estate Investment
1338	Real Fastigheter
1339	Realfiction
1340	Rebl Group
1341	REC Silicon
1342	Recyctec
1343	Redsense Medical
1344	Refine Group
1345	ReFuels N.V.
1346	Rejlers
1347	Reka Industrial
1348	Relais Group
1349	Relevance Communication
1350	Remedy Entertainment
1351	Renewable Ventures
1352	Rentunder
1353	Respiratorius
1354	Resurs Holding
1355	Retail
1356	Retailers
1357	Revenio
1358	Revolutionrace
1359	Rias
1360	RightBridge Ventures
1361	Ringkjobing Landbobank
1362	Risk Intelligence
1363	RISMA Systems
1364	River Tech
1365	Robit
1366	Roblon
1367	Rockwool A
1368	Rockwool B
1369	Rogaland Sparebank
1370	Röko
1371	Rolling Optics
1372	Romerike Sparebank
1373	RomReal
1374	Romsdal Sparebank
1375	Rottneros
1376	Rovsing
1377	Royal UNIBREW
1378	RTX
1379	RugVista
1380	Rusta
1381	S.D. Standard ETC
1382	S2Medical
1383	Saab
1384	Safe at Sea
1385	Safe Lane Gaming
