file_name	processed	type
93c696d9_panoro_energy_asa_new_share_capital_registered.pdf	TRUE	other
93c7ed5c_8dc006cdd1959648.pdf	TRUE	other
941bb5ea_eolus-ab-annual-report-and-sustainability-report-2025.pdf	TRUE	Annual report
94397626_2025_08_18_2026_03_27.pdf	TRUE	other
94397626_2026_03_27_buyback_of_own_shares.pdf	TRUE	other
947fbe18_tr1-dno-asa-27-03-2026-signed.pdf	TRUE	other
959631bc_4015061.pdf	TRUE	other
95b1a7eb_profilgruppen-ab-annual-report-2025.pdf	TRUE	Annual report
9792ecbd_4015459.pdf	TRUE	Annual report
9797c7d7_cinclus-pharma-to-participate-in-upcoming-investor-conferences.pdf	TRUE	other
97981e0c_4013936.pdf	TRUE	Annual report
9825d541_informationsbroschyr-sve.pdf	TRUE	other
9825d541_volatis-styrelse-foreslar-utdelning-och-sarnotering-av-salix-group-samt-publicerar-informationsbroschyr-infor-arsstamman.pdf	TRUE	other
989a1fa2_4017288.pdf	TRUE	other
98b381e0_2025-annual-report-on-form-20-f.pdf	TRUE	Annual report
98b381e0_2025-integrated-annual-report.pdf	TRUE	Annual report
99483ba1_tomra_remuneration_report_2025.pdf	TRUE	other
99483ba1_tomra_systems_asa_agm_2026_information_pack_english.pdf	TRUE	other
99483ba1_tomra_systems_asa_agm_2026_information_pack_norwegian.pdf	TRUE	other
9afb9d47_appendix-acquired-and-divested-properties.pdf	TRUE	other
9afb9d47_np3-fastigheter-acquires-properties-for-sek-108-million.pdf	TRUE	other
9c9d1a96_change-in-number-of-shares-and-voting-rights-in-synact-pharma-ab.pdf	TRUE	other
9ca44fc2_nod-notice-of-agm-2026.pdf	TRUE	other
9cbcceaf_sdiptech-ab-publ-offentliggor-resultat-av-aterkopserbjudande-avseende-utestaende-seniora-sakerstallda-hallbarhetslankade-obligationer.pdf	TRUE	other
9cee9b0a_extension-of-option-agreement.pdf	TRUE	other
9d000596_logistea-has-closed-the-acquisition-of-six-fully-leased-logistics-assets-from-dsv-in-a-sek-587-million-sale-leaseback-transaction.pdf	TRUE	other
9ddbb47c_4012334.pdf	TRUE	other
9e09fd6b_4015178.pdf	TRUE	other
9e8ef858_eda-notification-of-pledge-of-shares-krt-1500.pdf	TRUE	other
